expe,theoric,share_expe,Year
0.0,1,0.0,1909
0.0,1,0.0,1914
0.0,2,0.0,1915
0.0,1,0.0,1918
0.0,1,0.0,1921
0.0,1,0.0,1923
0.0,1,0.0,1925
0.0,1,0.0,1926
0.0,2,0.0,1928
0.0,1,0.0,1930
0.0,1,0.0,1931
0.0,2,0.0,1932
0.0,1,0.0,1933
0.0,2,0.0,1935
0.0,4,0.0,1936
0.0,4,0.0,1937
0.0,3,0.0,1938
0.0,3,0.0,1940
0.0,2,0.0,1941
0.0,4,0.0,1942
0.0,3,0.0,1943
0.0,2,0.0,1944
0.0,3,0.0,1945
0.0,3,0.0,1946
0.0,2,0.0,1947
0.0,7,0.0,1948
0.0,6,0.0,1949
0.0,7,0.0,1950
0.0,6,0.0,1951
0.0,6,0.0,1952
0.0,4,0.0,1953
0.0,4,0.0,1954
0.0,5,0.0,1955
0.0,2,0.0,1956
0.0,6,0.0,1957
0.0,4,0.0,1958
0.0,5,0.0,1959
0.0,6,0.0,1960
0.0,4,0.0,1961
0.0,3,0.0,1962
0.0,6,0.0,1963
0.0,7,0.0,1964
0.0,3,0.0,1965
1.0,14,0.07142857142857142,1966
0.0,7,0.0,1967
0.0,6,0.0,1968
0.0,10,0.0,1969
0.0,10,0.0,1970
0.0,7,0.0,1971
0.0,8,0.0,1972
0.0,9,0.0,1973
0.0,8,0.0,1974
1.0,11,0.09090909090909091,1975
1.0,8,0.125,1976
1.0,24,0.041666666666666664,1977
1.0,13,0.07692307692307693,1978
0.0,7,0.0,1979
0.0,9,0.0,1980
0.0,13,0.0,1981
0.0,11,0.0,1982
0.0,17,0.0,1983
0.0,14,0.0,1984
0.0,18,0.0,1985
3.0,16,0.1875,1986
0.0,10,0.0,1987
0.0,17,0.0,1988
0.0,23,0.0,1989
0.0,17,0.0,1990
0.0,14,0.0,1991
1.0,15,0.06666666666666667,1992
0.0,20,0.0,1993
1.0,19,0.05263157894736842,1994
1.0,22,0.045454545454545456,1995
1.0,40,0.025,1996
0.0,36,0.0,1997
0.0,33,0.0,1998
0.0,47,0.0,1999
0.0,71,0.0,2000
0.0,34,0.0,2001
0.0,60,0.0,2002
1.0,61,0.01639344262295082,2003
2.0,94,0.02127659574468085,2004
4.0,91,0.04395604395604396,2005
4.0,130,0.03076923076923077,2006
0.0,79,0.0,2007
1.0,136,0.007352941176470588,2008
1.0,84,0.011904761904761904,2009
2.0,107,0.018691588785046728,2010
1.0,108,0.009259259259259259,2011
0.0,171,0.0,2012
1.0,160,0.00625,2013
0.0,159,0.0,2014
1.0,144,0.006944444444444444,2015
7.0,183,0.03825136612021858,2016
6.0,305,0.019672131147540985,2017
8.0,299,0.026755852842809364,2018
18.0,338,0.05325443786982249,2019
9.0,362,0.024861878453038673,2020
28.0,280,0.1,2021
14.0,159,0.0880503144654088,2022
2.0,111,0.018018018018018018,2023
