n_theo,n_expe,Journal
185,91,Basic income studies
169,82,Choice/Choice reviews
112,37,The economic journal/Economic journal
60,68,Journal of public economics
57,67,The American economic review
61,58,The Quarterly journal of economics
30,85,Journal of political economy
29,71,Journal of European social policy
28,57,The Journal of human resources/The journal of human resources
37,48,Journal of social policy
34,51,World development
63,19,Contemporary sociology
31,44,The journal of economic perspectives/The Journal of economic perspectives
40,34,Ecological economics
29,41,Econometrica
8,60,The Review of income and wealth/Review of income and wealth
