expe,theoric,share_expe,Year
0.0,1.0,0.0,1595
0.0,1.0,0.0,1634
0.0,1.0,0.0,1655
1.0,0.0,1.0,1670
0.0,1.0,0.0,1697
0.0,1.0,0.0,1719
0.0,1.0,0.0,1765
0.0,1.0,0.0,1815
0.0,3.0,0.0,1820
0.0,1.0,0.0,1832
0.0,1.0,0.0,1843
0.0,1.0,0.0,1884
0.0,1.0,0.0,1890
0.0,2.0,0.0,1893
0.0,3.0,0.0,1913
0.0,2.0,0.0,1917
1.0,1.0,0.5,1918
0.0,2.0,0.0,1919
1.0,1.0,0.5,1920
0.0,1.0,0.0,1921
0.0,2.0,0.0,1923
0.0,1.0,0.0,1924
0.0,1.0,0.0,1926
2.0,1.0,0.6666666666666666,1927
0.0,1.0,0.0,1928
0.0,1.0,0.0,1930
0.0,2.0,0.0,1933
0.0,5.0,0.0,1935
1.0,5.0,0.16666666666666666,1936
0.0,1.0,0.0,1937
0.0,1.0,0.0,1938
0.0,1.0,0.0,1940
0.0,2.0,0.0,1942
0.0,1.0,0.0,1945
1.0,1.0,0.5,1947
1.0,0.0,1.0,1948
1.0,1.0,0.5,1949
2.0,2.0,0.5,1950
1.0,1.0,0.5,1951
0.0,1.0,0.0,1952
1.0,1.0,0.5,1953
0.0,3.0,0.0,1955
1.0,1.0,0.5,1957
0.0,1.0,0.0,1958
1.0,4.0,0.2,1959
1.0,0.0,1.0,1960
2.0,0.0,1.0,1961
1.0,2.0,0.3333333333333333,1962
0.0,1.0,0.0,1963
3.0,2.0,0.6,1964
1.0,3.0,0.25,1965
1.0,10.0,0.09090909090909091,1966
4.0,9.0,0.3076923076923077,1967
4.0,8.0,0.3333333333333333,1968
3.0,18.0,0.14285714285714285,1969
8.0,7.0,0.5333333333333333,1970
4.0,12.0,0.25,1971
6.0,4.0,0.6,1972
12.0,14.0,0.46153846153846156,1973
8.0,16.0,0.3333333333333333,1974
5.0,17.0,0.22727272727272727,1975
15.0,11.0,0.5769230769230769,1976
25.0,11.0,0.6944444444444444,1977
17.0,8.0,0.68,1978
15.0,18.0,0.45454545454545453,1979
19.0,10.0,0.6551724137931034,1980
8.0,4.0,0.6666666666666666,1981
6.0,11.0,0.35294117647058826,1982
10.0,11.0,0.47619047619047616,1983
11.0,16.0,0.4074074074074074,1984
5.0,8.0,0.38461538461538464,1985
12.0,13.0,0.48,1986
7.0,11.0,0.3888888888888889,1987
14.0,18.0,0.4375,1988
8.0,19.0,0.2962962962962963,1989
12.0,12.0,0.5,1990
7.0,14.0,0.3333333333333333,1991
12.0,10.0,0.5454545454545454,1992
12.0,25.0,0.32432432432432434,1993
13.0,23.0,0.3611111111111111,1994
23.0,27.0,0.46,1995
24.0,39.0,0.38095238095238093,1996
29.0,44.0,0.3972602739726027,1997
20.0,27.0,0.425531914893617,1998
34.0,39.0,0.4657534246575342,1999
31.0,84.0,0.26956521739130435,2000
25.0,46.0,0.352112676056338,2001
36.0,42.0,0.46153846153846156,2002
39.0,52.0,0.42857142857142855,2003
64.0,68.0,0.48484848484848486,2004
53.0,71.0,0.4274193548387097,2005
86.0,103.0,0.455026455026455,2006
50.0,76.0,0.3968253968253968,2007
64.0,122.0,0.34408602150537637,2008
49.0,77.0,0.3888888888888889,2009
72.0,100.0,0.4186046511627907,2010
77.0,120.0,0.39086294416243655,2011
106.0,159.0,0.4,2012
97.0,148.0,0.39591836734693875,2013
96.0,181.0,0.34657039711191334,2014
100.0,134.0,0.42735042735042733,2015
133.0,206.0,0.39233038348082594,2016
167.0,366.0,0.3133208255159475,2017
227.0,332.0,0.40608228980322003,2018
277.0,287.0,0.49113475177304966,2019
246.0,320.0,0.43462897526501765,2020
233.0,242.0,0.4905263157894737,2021
168.0,158.0,0.5153374233128835,2022
196.0,183.0,0.5171503957783641,2023
44.0,37.0,0.5432098765432098,2024
