n_theo,n_expe,Journal
186,95,Basic income studies
34,25,Journal of social policy
19,34,Journal of European social policy
2,50,The Review of income and wealth
10,41,Social policy & administration
14,36,The Journal of human resources
0,39,Mergent's dividend achievers
14,20,European journal of social security
12,20,Journal of public economics
6,18,International journal of social welfare
7,16,Social policy and society
17,5,CSP. Critical social policy
8,12,International social security review
18,2,Mareukeuseujuui yeongu
5,15,Political quarterly
10,9,The journal of economic perspectives
