n_theo,n_expe,Journal
218,82,RePEc: Research Papers in Economics
23,24,Econstor
114,23,Social Science Research Network
25,18,PubMed
54,16,DOAJ
27,5,HAL
11,5,Europe PMC
3,5,PubMed Central
17,6,"Library Union Catalog of Bavaria, Berlin and Brandenburg"
19,6,CiteSeer X
1,4,The World Bank Open Knowledge Repository
0,5,Durham Research Online
0,11,AEA Randomized Controlled Trials
7,3,Oxford University Research Archive
2,4,Research Publications
0,3,Zurich Open Repository and Archive
0,3,MADOC
0,3,Research portal
1,3,Northumbria Research Link
1,3,Helda
