journal,year,n_theo,n_expe
Basic income studies,1900,0,0
Basic income studies,1901,0,0
Basic income studies,1902,0,0
Basic income studies,1903,0,0
Basic income studies,1904,0,0
Basic income studies,1905,0,0
Basic income studies,1906,0,0
Basic income studies,1907,0,0
Basic income studies,1908,0,0
Basic income studies,1909,0,0
Basic income studies,1910,0,0
Basic income studies,1911,0,0
Basic income studies,1912,0,0
Basic income studies,1913,0,0
Basic income studies,1914,0,0
Basic income studies,1915,0,0
Basic income studies,1916,0,0
Basic income studies,1917,0,0
Basic income studies,1918,0,0
Basic income studies,1919,0,0
Basic income studies,1920,0,0
Basic income studies,1921,0,0
Basic income studies,1922,0,0
Basic income studies,1923,0,0
Basic income studies,1924,0,0
Basic income studies,1925,0,0
Basic income studies,1926,0,0
Basic income studies,1927,0,0
Basic income studies,1928,0,0
Basic income studies,1929,0,0
Basic income studies,1930,0,0
Basic income studies,1931,0,0
Basic income studies,1932,0,0
Basic income studies,1933,0,0
Basic income studies,1934,0,0
Basic income studies,1935,0,0
Basic income studies,1936,0,0
Basic income studies,1937,0,0
Basic income studies,1938,0,0
Basic income studies,1939,0,0
Basic income studies,1940,0,0
Basic income studies,1941,0,0
Basic income studies,1942,0,0
Basic income studies,1943,0,0
Basic income studies,1944,0,0
Basic income studies,1945,0,0
Basic income studies,1946,0,0
Basic income studies,1947,0,0
Basic income studies,1948,0,0
Basic income studies,1949,0,0
Basic income studies,1950,0,0
Basic income studies,1951,0,0
Basic income studies,1952,0,0
Basic income studies,1953,0,0
Basic income studies,1954,0,0
Basic income studies,1955,0,0
Basic income studies,1956,0,0
Basic income studies,1957,0,0
Basic income studies,1958,0,0
Basic income studies,1959,0,0
Basic income studies,1960,0,0
Basic income studies,1961,0,0
Basic income studies,1962,0,0
Basic income studies,1963,0,0
Basic income studies,1964,0,0
Basic income studies,1965,0,0
Basic income studies,1966,0,0
Basic income studies,1967,0,0
Basic income studies,1968,0,0
Basic income studies,1969,0,0
Basic income studies,1970,0,0
Basic income studies,1971,0,0
Basic income studies,1972,0,0
Basic income studies,1973,0,0
Basic income studies,1974,0,0
Basic income studies,1975,0,0
Basic income studies,1976,0,0
Basic income studies,1977,0,0
Basic income studies,1978,0,0
Basic income studies,1979,0,0
Basic income studies,1980,0,0
Basic income studies,1981,0,0
Basic income studies,1982,0,0
Basic income studies,1983,0,0
Basic income studies,1984,0,0
Basic income studies,1985,0,0
Basic income studies,1986,0,0
Basic income studies,1987,0,0
Basic income studies,1988,0,0
Basic income studies,1989,0,0
Basic income studies,1990,0,0
Basic income studies,1991,0,0
Basic income studies,1992,0,0
Basic income studies,1993,0,0
Basic income studies,1994,0,0
Basic income studies,1995,0,0
Basic income studies,1996,0,0
Basic income studies,1997,0,0
Basic income studies,1998,0,0
Basic income studies,1999,0,0
Basic income studies,2000,0,0
Basic income studies,2001,0,0
Basic income studies,2002,0,0
Basic income studies,2003,0,0
Basic income studies,2004,0,0
Basic income studies,2005,0,0
Basic income studies,2006,25,6
Basic income studies,2007,16,2
Basic income studies,2008,33,7
Basic income studies,2009,4,2
Basic income studies,2010,15,5
Basic income studies,2011,3,2
Basic income studies,2012,16,6
Basic income studies,2013,11,5
Basic income studies,2014,4,3
Basic income studies,2015,6,9
Basic income studies,2016,10,0
Basic income studies,2017,5,6
Basic income studies,2018,4,9
Basic income studies,2019,9,6
Basic income studies,2020,6,3
Journal of social policy,1900,0,0
Journal of social policy,1901,0,0
Journal of social policy,1902,0,0
Journal of social policy,1903,0,0
Journal of social policy,1904,0,0
Journal of social policy,1905,0,0
Journal of social policy,1906,0,0
Journal of social policy,1907,0,0
Journal of social policy,1908,0,0
Journal of social policy,1909,0,0
Journal of social policy,1910,0,0
Journal of social policy,1911,0,0
Journal of social policy,1912,0,0
Journal of social policy,1913,0,0
Journal of social policy,1914,0,0
Journal of social policy,1915,0,0
Journal of social policy,1916,0,0
Journal of social policy,1917,0,0
Journal of social policy,1918,0,0
Journal of social policy,1919,0,0
Journal of social policy,1920,0,0
Journal of social policy,1921,0,0
Journal of social policy,1922,0,0
Journal of social policy,1923,0,0
Journal of social policy,1924,0,0
Journal of social policy,1925,0,0
Journal of social policy,1926,0,0
Journal of social policy,1927,0,0
Journal of social policy,1928,0,0
Journal of social policy,1929,0,0
Journal of social policy,1930,0,0
Journal of social policy,1931,0,0
Journal of social policy,1932,0,0
Journal of social policy,1933,0,0
Journal of social policy,1934,0,0
Journal of social policy,1935,0,0
Journal of social policy,1936,0,0
Journal of social policy,1937,0,0
Journal of social policy,1938,0,0
Journal of social policy,1939,0,0
Journal of social policy,1940,0,0
Journal of social policy,1941,0,0
Journal of social policy,1942,0,0
Journal of social policy,1943,0,0
Journal of social policy,1944,0,0
Journal of social policy,1945,0,0
Journal of social policy,1946,0,0
Journal of social policy,1947,0,0
Journal of social policy,1948,0,0
Journal of social policy,1949,0,0
Journal of social policy,1950,0,0
