community_1,community_2,community_3,community_4,community_5,year
,,,,,1960
,,,,,1961
,,,,,1962
,,,,,1963
,,,,,1964
,,,,,1965
,,,,,1966
,,,,,1967
0.0,0.0,1.0,0.0,0.0,1968
,,,,,1969
0.0,0.0,1.0,0.0,0.0,1970
0.0,0.0,1.0,0.0,0.0,1971
,,,,,1972
0.0,0.5,0.5,0.0,0.0,1973
,,,,,1974
0.0,1.0,0.0,0.0,0.0,1975
0.0,0.5,0.5,0.0,0.0,1976
0.2,0.6,0.2,0.0,0.0,1977
0.0,0.8,0.2,0.0,0.0,1978
0.0,0.0,1.0,0.0,0.0,1979
0.0,0.5,0.5,0.0,0.0,1980
0.0,1.0,0.0,0.0,0.0,1981
0.0,1.0,0.0,0.0,0.0,1982
0.0,1.0,0.0,0.0,0.0,1983
,,,,,1984
0.0,0.0,1.0,0.0,0.0,1985
0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,1986
0.0,0.0,1.0,0.0,0.0,1987
0.0,0.25,0.75,0.0,0.0,1988
0.0,0.0,1.0,0.0,0.0,1989
0.0,0.0,1.0,0.0,0.0,1990
,,,,,1991
0.0,0.0,1.0,0.0,0.0,1992
0.5,0.0,0.5,0.0,0.0,1993
0.0,0.0,1.0,0.0,0.0,1994
0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.0,1995
0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,1996
1.0,0.0,0.0,0.0,0.0,1997
0.0,0.5,0.5,0.0,0.0,1998
0.21428571428571427,0.5,0.2857142857142857,0.0,0.0,1999
0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,2000
0.0,0.5,0.25,0.0,0.25,2001
0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0,0.36363636363636365,2002
0.2727272727272727,0.36363636363636365,0.18181818181818182,0.0,0.18181818181818182,2003
0.6153846153846154,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,2004
0.25,0.0,0.5833333333333334,0.08333333333333333,0.08333333333333333,2005
0.5882352941176471,0.35294117647058826,0.058823529411764705,0.0,0.0,2006
0.3333333333333333,0.1111111111111111,0.5555555555555556,0.0,0.0,2007
0.2,0.3,0.2,0.1,0.2,2008
0.9047619047619048,0.047619047619047616,0.0,0.0,0.047619047619047616,2009
0.3181818181818182,0.4090909090909091,0.22727272727272727,0.045454545454545456,0.0,2010
0.375,0.4375,0.1875,0.0,0.0,2011
0.5625,0.0625,0.3125,0.0625,0.0,2012
0.3888888888888889,0.2777777777777778,0.2222222222222222,0.0,0.1111111111111111,2013
0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,2014
0.4375,0.375,0.125,0.0625,0.0,2015
0.6363636363636364,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,2016
0.3548387096774194,0.3548387096774194,0.25806451612903225,0.03225806451612903,0.0,2017
0.30864197530864196,0.5555555555555556,0.08641975308641975,0.04938271604938271,0.0,2018
0.46153846153846156,0.47692307692307695,0.0,0.06153846153846154,0.0,2019
0.2777777777777778,0.5833333333333334,0.05555555555555555,0.06944444444444445,0.013888888888888888,2020
