year,definition,countries_0,countries_1,countries_2,countries_3
1968,negative income tax,0,1,0,0
1970,negative income tax,0,1,0,0
1971,cash payment,0,1,0,0
1971,individual,0,1,0,0
1971,negative income tax,0,1,0,1
1971,unconditional,0,1,0,0
1971,universal,0,1,0,1
1972,individual,0,0,0,1
1973,in kind,0,1,0,1
1973,individual,0,1,1,1
1973,negative income tax,0,2,1,1
1973,periodic,0,0,0,1
1973,unconditional,0,1,0,1
1973,universal,0,1,0,1
1974,individual,0,1,0,0
1974,minimum income guarantee,0,0,1,0
1974,negative income tax,0,1,0,0
1974,universal,0,0,1,0
1975,cash payment,0,1,0,0
1975,individual,1,3,0,1
1975,negative income tax,1,2,0,1
1975,periodic,0,1,0,0
1975,universal,1,1,0,0
1976,individual,2,2,0,0
1976,negative income tax,1,2,0,0
1976,universal,1,1,0,0
1977,in kind,0,0,0,1
1977,individual,0,5,0,1
1977,negative income tax,0,3,0,1
1977,regularly,0,1,0,0
1977,universal,0,1,0,1
1978,individual,2,1,0,0
1978,negative income tax,2,1,0,0
1978,unconditional,1,0,0,0
1979,individual,0,3,0,1
1979,negative income tax,0,1,0,1
1980,in kind,0,1,0,0
1980,individual,0,3,0,0
1980,negative income tax,0,1,0,0
1980,universal,0,1,0,1
1981,cash payment,0,2,0,0
1981,individual,0,3,0,1
1981,negative income tax,0,3,0,0
1981,regularly,0,1,0,0
1981,universal,0,0,0,1
1982,individual,0,1,0,0
1982,negative income tax,0,1,0,0
1983,individual,0,3,0,0
1983,negative income tax,0,3,0,0
1983,universal,0,2,0,0
1984,basic income,1,0,0,0
1984,in kind,2,0,1,0
1984,individual,2,1,1,0
1984,universal,2,0,0,0
1985,cash payment,0,1,0,0
1985,in kind,0,1,0,0
1985,individual,0,3,0,0
1985,negative income tax,0,3,0,0
1985,universal,0,1,0,0
1986,basic income,0,0,0,1
1986,individual,0,6,0,1
1986,negative income tax,0,3,0,0
1986,unconditional,0,1,0,0
1986,universal,0,1,0,1
1987,in kind,0,1,0,0
1987,individual,2,1,0,1
1987,minimum income guarantee,1,0,0,1
1987,negative income tax,1,1,0,0
1987,regularly,0,0,0,1
1987,universal,0,1,0,1
1988,basic income,2,2,0,0
1988,individual,1,4,0,0
1988,negative income tax,1,1,0,0
1988,periodic,0,1,0,0
1988,unconditional,1,0,0,0
1988,universal,1,2,0,0
1989,basic income,2,0,0,1
1989,cash payment,0,1,0,0
1989,individual,3,1,1,1
1989,unconditional,1,0,0,0
1989,universal,2,0,0,0
1990,basic income,0,1,1,0
1990,individual,2,2,1,0
1990,minimum income guarantee,1,1,0,0
1990,negative income tax,2,1,1,0
1990,universal,1,2,0,0
1991,basic income,3,0,0,0
1991,individual,2,0,0,1
1991,universal,2,0,0,0
1992,basic income,1,1,0,1
1992,individual,1,2,0,1
1992,regularly,0,1,0,0
1992,unconditional,0,1,0,0
1992,universal,0,1,0,1
1993,basic income,2,2,0,1
1993,individual,2,5,0,3
1993,negative income tax,1,1,0,2
1993,unconditional,1,1,0,0
1993,universal,1,1,0,2
1994,basic income,3,1,1,0
1994,individual,4,3,1,1
1994,negative income tax,0,1,0,1
1994,periodic,0,1,0,0
1994,unconditional,1,1,0,0
1994,universal,2,1,1,0
1995,basic income,1,3,0,1
1995,cash payment,0,1,0,0
1995,individual,1,6,0,2
1995,negative income tax,0,3,0,1
1995,periodic,0,0,0,1
1995,regularly,0,1,0,0
1995,unconditional,0,2,0,0
1995,universal,0,3,0,1
1996,basic income,12,0,0,0
1996,in kind,1,1,0,0
1996,individual,9,2,0,0
1996,minimum income guarantee,2,0,0,0
1996,negative income tax,3,3,0,0
1996,regularly,1,1,0,0
1996,unconditional,7,1,0,0
1996,universal,9,0,0,0
1997,basic income,12,2,1,0
1997,cash payment,0,1,0,0
1997,in kind,1,1,0,0
1997,individual,5,3,2,2
1997,minimum income guarantee,1,0,0,1
1997,negative income tax,0,0,1,2
1997,periodic,0,1,0,0
1997,regularly,0,0,1,0
1997,unconditional,8,1,0,1
1997,universal,3,1,1,1
1998,basic income,7,2,1,2
1998,in kind,0,1,1,0
1998,individual,7,6,1,5
1998,minimum income guarantee,0,1,0,1
1998,negative income tax,3,3,0,2
1998,periodic,0,0,0,1
1998,regularly,1,0,0,0
1998,unconditional,7,2,0,1
1998,universal,5,3,0,5
1999,basic income,8,3,4,0
1999,cash payment,0,0,0,1
1999,in kind,1,1,2,0
1999,individual,4,8,4,1
1999,minimum income guarantee,0,0,0,1
1999,negative income tax,1,4,2,1
1999,periodic,0,1,0,0
1999,regularly,0,0,1,0
1999,unconditional,3,1,1,0
1999,universal,3,4,2,0
2000,basic income,3,2,4,2
2000,in kind,0,0,1,0
2000,individual,3,2,2,3
2000,minimum income guarantee,0,1,0,0
2000,negative income tax,1,1,0,1
2000,regularly,1,0,0,0
2000,unconditional,0,0,1,1
2000,universal,3,2,1,2
2001,basic income,6,1,3,1
2001,cash payment,0,1,0,0
2001,individual,7,3,2,0
2001,minimum income guarantee,2,0,0,0
2001,negative income tax,2,1,0,0
2001,regularly,0,0,1,0
2001,unconditional,4,0,0,0
2001,universal,4,3,0,1
2002,basic income,2,4,1,0
2002,cash payment,0,1,0,0
2002,in kind,2,1,0,0
2002,individual,3,6,2,0
2002,negative income tax,1,3,2,0
2002,periodic,1,0,1,0
2002,regularly,2,1,1,0
2002,unconditional,2,1,1,0
2002,universal,1,4,1,0
2003,basic income,7,2,1,4
2003,cash payment,1,1,0,0
2003,in kind,0,1,0,0
2003,individual,3,10,1,2
2003,negative income tax,0,5,0,2
2003,periodic,0,1,1,0
2003,regularly,1,1,0,0
2003,unconditional,2,0,0,1
2003,universal,3,4,1,1
2004,basic income,17,8,2,6
2004,cash payment,2,1,0,1
2004,in kind,3,2,0,0
2004,individual,9,8,1,5
2004,minimum income guarantee,1,1,0,1
2004,negative income tax,3,3,1,3
2004,periodic,2,1,0,0
2004,regularly,2,0,0,0
2004,unconditional,7,6,1,0
2004,universal,7,7,1,4
2005,basic income,8,10,1,2
2005,cash payment,1,1,0,0
2005,in kind,1,1,0,0
2005,individual,7,8,0,3
2005,minimum income guarantee,1,1,0,1
2005,negative income tax,2,3,1,0
2005,periodic,0,2,0,0
2005,regularly,1,1,0,0
2005,unconditional,5,5,0,1
2005,universal,5,4,0,1
2006,basic income,6,7,8,2
2006,in kind,0,0,2,0
2006,individual,2,6,2,1
2006,minimum income guarantee,0,1,1,0
2006,negative income tax,1,1,4,0
2006,periodic,0,1,0,0
2006,regularly,1,2,0,0
2006,unconditional,1,2,1,0
2006,universal,0,3,2,1
2007,basic income,4,9,4,5
2007,in kind,1,0,0,0
2007,individual,6,10,2,2
2007,minimum income guarantee,1,0,0,0
2007,negative income tax,2,5,3,0
2007,periodic,1,0,0,1
2007,regularly,1,0,0,1
2007,unconditional,3,6,0,0
2007,universal,3,9,2,1
2008,basic income,7,5,7,2
2008,cash payment,0,1,0,1
2008,in kind,2,0,2,0
2008,individual,6,11,5,3
2008,negative income tax,3,4,4,1
2008,periodic,2,2,0,0
2008,regularly,0,1,2,0
2008,unconditional,3,4,2,2
2008,universal,5,8,3,3
2009,basic income,4,7,6,4
2009,cash payment,0,0,1,0
2009,in kind,0,0,1,0
