year,definition,countries_0,countries_1,countries_2,countries_3
1968,negative income tax,0,1,0,0
1970,negative income tax,0,1,0,0
1971,negative income tax,0,1,0,1
1973,negative income tax,0,2,1,1
1974,minimum income guarantee,0,0,1,0
1974,negative income tax,0,1,0,0
1975,negative income tax,1,2,0,1
1976,negative income tax,1,2,0,0
1977,negative income tax,0,3,0,1
1978,negative income tax,2,1,0,0
1979,negative income tax,0,1,0,1
1980,negative income tax,0,1,0,0
1981,negative income tax,0,3,0,0
1982,negative income tax,0,1,0,0
1983,negative income tax,0,3,0,0
1984,basic income,1,0,0,0
1985,negative income tax,0,3,0,0
1986,basic income,0,0,0,1
1986,negative income tax,0,3,0,0
1987,minimum income guarantee,1,0,0,1
1987,negative income tax,1,1,0,0
1988,basic income,2,2,0,0
1988,negative income tax,1,1,0,0
1989,basic income,2,0,0,1
1990,basic income,0,1,1,0
1990,minimum income guarantee,1,1,0,0
1990,negative income tax,2,1,1,0
1991,basic income,3,0,0,0
1992,basic income,1,1,0,1
1993,basic income,2,2,0,1
1993,negative income tax,1,1,0,2
1994,basic income,3,1,1,0
1994,negative income tax,0,1,0,1
1995,basic income,1,3,0,1
1995,negative income tax,0,3,0,1
1996,basic income,12,0,0,0
1996,minimum income guarantee,2,0,0,0
1996,negative income tax,3,3,0,0
1997,basic income,12,2,1,0
1997,minimum income guarantee,1,0,0,1
1997,negative income tax,0,0,1,2
1998,basic income,7,2,1,2
1998,minimum income guarantee,0,1,0,1
1998,negative income tax,3,3,0,2
1999,basic income,8,3,4,0
1999,minimum income guarantee,0,0,0,1
1999,negative income tax,1,4,2,1
2000,basic income,3,2,4,2
2000,minimum income guarantee,0,1,0,0
2000,negative income tax,1,1,0,1
2001,basic income,6,1,3,1
2001,minimum income guarantee,2,0,0,0
2001,negative income tax,2,1,0,0
2002,basic income,2,4,1,0
2002,negative income tax,1,3,2,0
2003,basic income,7,2,1,4
2003,negative income tax,0,5,0,2
2004,basic income,17,8,2,6
2004,minimum income guarantee,1,1,0,1
2004,negative income tax,3,3,1,3
2005,basic income,8,10,1,2
2005,minimum income guarantee,1,1,0,1
2005,negative income tax,2,3,1,0
2006,basic income,6,7,8,2
2006,minimum income guarantee,0,1,1,0
2006,negative income tax,1,1,4,0
2007,basic income,4,9,4,5
2007,minimum income guarantee,1,0,0,0
2007,negative income tax,2,5,3,0
2008,basic income,7,5,7,2
2008,negative income tax,3,4,4,1
2009,basic income,4,7,6,4
2009,minimum income guarantee,1,1,2,0
2009,negative income tax,0,2,1,0
2010,basic income,3,11,10,3
2010,minimum income guarantee,0,1,0,0
2010,negative income tax,1,6,1,1
2011,basic income,4,8,7,4
2011,minimum income guarantee,0,0,1,0
2011,negative income tax,4,3,0,1
2012,basic income,11,10,8,2
2012,minimum income guarantee,0,1,0,0
2012,negative income tax,3,5,2,1
2013,basic income,12,13,9,7
2013,minimum income guarantee,2,0,0,0
2013,negative income tax,3,3,0,1
2014,basic income,11,5,21,6
2014,minimum income guarantee,0,0,1,0
2014,negative income tax,0,5,2,0
2015,basic income,15,12,11,10
2015,minimum income guarantee,1,1,1,0
2015,negative income tax,3,6,1,1
2016,basic income,17,9,20,10
2016,minimum income guarantee,1,1,1,0
2016,negative income tax,4,3,5,2
2017,basic income,30,36,28,24
2017,minimum income guarantee,0,0,1,1
2017,negative income tax,3,5,7,9
2018,basic income,34,49,26,17
2018,minimum income guarantee,2,0,0,0
2018,negative income tax,7,10,7,5
2019,basic income,39,36,28,37
2019,minimum income guarantee,0,1,0,1
2019,negative income tax,5,10,4,5
2020,basic income,27,54,22,32
2020,minimum income guarantee,0,0,1,0
2020,negative income tax,1,2,1,0
