n_pub_SHS,n_pub_SHS_eco,n_ubi_SHS,n_ubi_SHS_eco,year
2262,37,0.0,0.0,1801
1598,27,0.0,0.0,1802
1777,40,0.0,0.0,1803
1639,41,0.0,0.0,1804
1494,36,0.0,0.0,1805
1557,32,0.0,0.0,1806
1295,41,0.0,0.0,1807
1506,40,0.0,0.0,1808
1449,56,0.0,0.0,1809
1670,59,0.0,0.0,1810
1560,59,0.0,0.0,1811
1544,53,0.0,0.0,1812
1413,38,0.0,0.0,1813
1548,53,0.0,0.0,1814
1823,68,1.0,0.0,1815
1862,48,0.0,0.0,1816
1677,72,0.0,0.0,1817
1864,56,0.0,0.0,1818
1579,49,0.0,0.0,1819
1978,51,3.0,0.0,1820
2225,67,0.0,0.0,1821
2162,45,0.0,0.0,1822
3086,98,0.0,0.0,1823
2777,108,0.0,0.0,1824
2924,53,0.0,0.0,1825
3004,66,0.0,0.0,1826
3602,85,0.0,0.0,1827
3266,86,0.0,0.0,1828
3114,68,0.0,0.0,1829
3612,75,0.0,0.0,1830
3199,95,0.0,0.0,1831
3142,104,1.0,0.0,1832
3142,89,0.0,0.0,1833
3952,92,0.0,0.0,1834
3806,101,0.0,0.0,1835
3783,114,0.0,0.0,1836
3962,109,0.0,0.0,1837
3891,109,0.0,0.0,1838
4789,156,0.0,0.0,1839
5293,149,0.0,0.0,1840
4740,143,0.0,0.0,1841
4826,176,0.0,0.0,1842
5058,157,1.0,0.0,1843
4988,139,0.0,0.0,1844
5109,130,0.0,0.0,1845
6176,188,0.0,0.0,1846
6805,244,0.0,0.0,1847
6472,244,0.0,0.0,1848
6134,238,0.0,0.0,1849
9614,241,0.0,0.0,1850
10027,281,0.0,0.0,1851
9542,238,0.0,0.0,1852
10248,295,0.0,0.0,1853
10764,275,0.0,0.0,1854
11412,318,0.0,0.0,1855
10672,365,0.0,0.0,1856
11604,316,0.0,0.0,1857
10664,299,0.0,0.0,1858
10878,334,0.0,0.0,1859
11149,399,0.0,0.0,1860
11031,288,0.0,0.0,1861
11282,314,0.0,0.0,1862
11510,294,0.0,0.0,1863
11105,267,0.0,0.0,1864
9999,247,0.0,0.0,1865
10715,228,0.0,0.0,1866
12513,266,0.0,0.0,1867
12134,253,0.0,0.0,1868
11914,261,0.0,0.0,1869
14315,320,0.0,0.0,1870
11196,304,0.0,0.0,1871
13891,371,0.0,0.0,1872
14540,350,0.0,0.0,1873
