countries_0,countries_1,countries_2,countries_3,Topics,year
0,0,0,0,community_1,1960
0,0,0,0,community_1,1961
0,0,0,0,community_1,1962
0,0,0,0,community_1,1963
0,0,0,0,community_1,1964
0,0,0,0,community_1,1965
0,0,0,0,community_1,1966
0,0,0,0,community_1,1967
0,0,0,0,community_1,1968
0,0,0,0,community_1,1969
0,0,0,0,community_1,1970
0,0,0,0,community_1,1971
0,0,0,1,community_1,1972
0,0,0,0,community_1,1973
0,1,0,0,community_1,1974
0,1,0,0,community_1,1975
0,0,0,0,community_1,1976
0,2,0,1,community_1,1977
1,0,0,0,community_1,1978
0,0,0,0,community_1,1979
0,2,0,1,community_1,1980
0,0,0,1,community_1,1981
0,1,0,0,community_1,1982
0,0,0,0,community_1,1983
0,0,1,0,community_1,1984
0,0,1,0,community_1,1985
1,2,0,0,community_1,1986
1,1,0,0,community_1,1987
1,0,0,0,community_1,1988
1,0,1,0,community_1,1989
0,0,0,0,community_1,1990
0,0,0,0,community_1,1991
0,0,0,1,community_1,1992
2,1,0,0,community_1,1993
1,1,0,0,community_1,1994
1,2,0,1,community_1,1995
8,0,0,1,community_1,1996
6,2,2,2,community_1,1997
5,2,0,4,community_1,1998
9,3,2,0,community_1,1999
3,1,3,4,community_1,2000
5,0,1,0,community_1,2001
2,4,3,0,community_1,2002
2,4,1,3,community_1,2003
10,7,1,2,community_1,2004
3,6,1,2,community_1,2005
4,8,1,1,community_1,2006
3,7,1,1,community_1,2007
3,6,3,2,community_1,2008
2,11,4,2,community_1,2009
4,6,3,2,community_1,2010
6,7,1,3,community_1,2011
12,8,6,0,community_1,2012
11,9,3,7,community_1,2013
10,3,10,2,community_1,2014
8,9,3,7,community_1,2015
12,9,12,6,community_1,2016
21,13,13,10,community_1,2017
23,18,16,9,community_1,2018
24,11,18,22,community_1,2019
16,24,11,13,community_1,2020
