countries_0,countries_1,countries_2,countries_3,Topics,year
0,0,0,0,community_2,1960
0,0,0,0,community_2,1961
0,0,0,0,community_2,1962
0,0,0,0,community_2,1963
0,0,0,0,community_2,1964
0,0,0,0,community_2,1965
0,0,0,0,community_2,1966
0,0,0,0,community_2,1967
0,1,0,0,community_2,1968
0,0,0,0,community_2,1969
0,1,0,0,community_2,1970
0,1,0,1,community_2,1971
0,0,0,0,community_2,1972
0,1,1,0,community_2,1973
0,0,0,0,community_2,1974
1,0,0,1,community_2,1975
2,0,0,0,community_2,1976
0,1,0,0,community_2,1977
2,2,0,0,community_2,1978
0,2,0,1,community_2,1979
0,1,0,0,community_2,1980
0,0,0,0,community_2,1981
0,0,0,0,community_2,1982
0,1,0,0,community_2,1983
0,0,0,0,community_2,1984
0,3,0,0,community_2,1985
0,3,0,0,community_2,1986
1,0,0,1,community_2,1987
0,3,0,0,community_2,1988
1,1,0,1,community_2,1989
1,2,0,0,community_2,1990
2,0,0,1,community_2,1991
1,1,0,0,community_2,1992
0,0,0,1,community_2,1993
1,0,1,0,community_2,1994
0,1,0,0,community_2,1995
5,2,0,0,community_2,1996
6,0,0,2,community_2,1997
2,3,0,1,community_2,1998
2,1,1,0,community_2,1999
3,2,3,1,community_2,2000
1,2,2,0,community_2,2001
1,2,4,0,community_2,2002
2,3,0,2,community_2,2003
6,1,5,6,community_2,2004
2,4,2,1,community_2,2005
1,1,7,1,community_2,2006
2,6,2,2,community_2,2007
3,5,2,1,community_2,2008
2,0,4,2,community_2,2009
1,1,7,0,community_2,2010
0,1,3,0,community_2,2011
1,3,1,0,community_2,2012
0,1,3,1,community_2,2013
2,1,4,0,community_2,2014
1,0,4,2,community_2,2015
1,2,4,3,community_2,2016
3,9,5,2,community_2,2017
5,2,7,2,community_2,2018
2,3,1,4,community_2,2019
2,5,3,3,community_2,2020
