,source,target,weight,year
1090,Aalborg,Copenhagen,1,1999
1442,Aarhus,Utrecht,1,2018
1161,Accra,East Lansing,1,2021
1162,Accra,Chicago,1,2021
1163,Accra,Montreal,1,2022
1105,Akron,Beijing,1,2023
1106,Akron,Washington,1,2023
1107,Akron,New Orleans,1,2023
864,Albany,Cambridge,1,2010
865,Albany,San Francisco,1,2010
862,Albany,Albany,1,2021
863,Albany,Nashville,1,2021
390,Amherst Center,Cambridge,1,2020
391,Amherst Center,Amherst Center,1,2021
392,Amherst Center,Pretoria,1,2021
393,Amherst Center,Johannesburg,1,2021
394,Amherst Center,Stellenbosch,1,2021
395,Amherst Center,Helsinki,1,2021
85,Amsterdam,Utrecht,1,1997
86,Amsterdam,Antwerp,1,2013
87,Amsterdam,Leuven,1,2013
88,Amsterdam,Barcelona,1,2019
89,Amsterdam,Vancouver,1,2019
90,Amsterdam,Wageningen,1,2023
91,Amsterdam,Edinburgh,1,2023
92,Amsterdam,Brisbane,1,2023
93,Amsterdam,Oxford,1,2023
94,Amsterdam,Sheffield,1,2023
21,Ann Arbor,Dearborn,1,2013
473,Antwerp,Birmingham,1,2003
474,Antwerp,Coventry,1,2006
469,Antwerp,Leuven,1,2013
470,Antwerp,Amsterdam,1,2013
471,Antwerp,Antwerp,1,2013
472,Antwerp,New York,2,2019
35,Armidale,Sydney,1,2000
1254,Arrasate / Mondragón,Barcelona,1,2024
665,Asunción,Ciudad Real,1,2019
666,Asunción,Madrid,1,2019
1187,Athens,Hamilton,2,2003
1335,Atlanta,Boone,1,2023
1336,Atlanta,Atlanta,1,2023
1361,Auburn,Duluth,1,2021
1362,Auburn,Fort Worth,1,2021
1359,Auburn,Duluth,1,2023
1360,Auburn,Fort Worth,1,2023
351,Auckland,Sydney,1,2013
350,Auckland,Waterloo,1,2015
349,Auckland,Richmond,1,2020
537,Augsburg,Toulouse,1,2015
538,Augsburg,Hamburg,1,2018
1113,Aveiro,Evora,1,2020
1114,Aveiro,Covilha,1,2020
1216,Azusa,Houston,1,2020
1347,Baku,London,1,2019
1139,Baltimore,Coral Gables,1,1986
1137,Baltimore,Washington D.C.,1,1999
1138,Baltimore,Washington,1,1999
1140,Baltimore,Washington,1,2014
1136,Baltimore,New York,1,2017
1135,Baltimore,Melbourne,1,2018
1415,Bamberg,Sofia,1,2022
730,Barcelona,Cerdanyola del Vallès,1,2014
735,Barcelona,Montreal,1,2015
731,Barcelona,Poznan,1,2016
723,Barcelona,Thiverval-Grignon,1,2019
724,Barcelona,Vancouver,2,2019
725,Barcelona,Amsterdam,1,2019
726,Barcelona,Tampere,1,2019
727,Barcelona,Helsinki,1,2020
728,Barcelona,Bath,1,2020
719,Barcelona,Braga,7,2021
732,Barcelona,Helsinki,1,2022
733,Barcelona,Oxford,1,2022
734,Barcelona,Braga,1,2022
720,Barcelona,Wroclaw,1,2023
721,Barcelona,Barcelona,2,2023
722,Barcelona,Girona,1,2023
729,Barcelona,Arrasate / Mondragón,1,2024
787,Bath,Geneva,1,2008
788,Bath,Copenhagen,1,2008
786,Bath,Oxford,1,2016
785,Bath,Bristol,1,2017
776,Bath,Tampere,1,2018
777,Bath,Bristol,1,2018
778,Bath,Tampere,1,2019
779,Bath,Helsinki,1,2019
782,Bath,Barcelona,1,2020
783,Bath,Helsinki,1,2020
784,Bath,Leuven,1,2020
770,Bath,Louvain-la-Neuve,1,2022
771,Bath,Leeds,1,2022
772,Bath,Bath,1,2022
773,Bath,Riga,1,2022
774,Bath,Brisbane,1,2023
775,Bath,Freiburg im Breisgau,1,2023
780,Bath,Dublin,1,2024
781,Bath,Bath,1,2024
1304,Beersheba,Rehovot,1,2020
710,Beijing,Washington D.C.,1,2006
711,Beijing,Washington,1,2006
709,Beijing,Oslo,1,2018
704,Beijing,Southampton,1,2023
705,Beijing,Stony Brook,1,2023
706,Beijing,New Orleans,1,2023
707,Beijing,Akron,1,2023
708,Beijing,Washington,1,2023
1371,Bergamo,Pavia,1,2008
1342,Bergen,Leiden,1,2017
1343,Bergen,Rotterdam,1,2017
648,Berkeley,Davis,1,1992
644,Berkeley,Malden,1,2010
645,Berkeley,Cambridge,1,2010
646,Berkeley,Cambridge,2,2016
647,Berkeley,Glasgow,1,2016
639,Berkeley,Evanston,1,2019
640,Berkeley,Shatin,1,2019
641,Berkeley,Columbus,1,2019
642,Berkeley,Berkeley,1,2019
643,Berkeley,Paris,1,2019
832,Berlin,Frankfurt am Main,1,2002
818,Berlin,Bonn,1,2008
819,Berlin,Nuremberg,1,2008
821,Berlin,Speyer,1,2014
822,Berlin,Koblenz,1,2014
823,Berlin,Kiel,1,2014
824,Berlin,Berlin,1,2014
825,Berlin,Wiesbaden,1,2014
815,Berlin,Frankfurt (Oder),1,2015
816,Berlin,Berlin,1,2015
817,Berlin,Mannheim,1,2015
813,Berlin,Nuremberg,1,2017
820,Berlin,Paris,1,2019
826,Berlin,Oxford,1,2020
814,Berlin,Bochum,3,2023
827,Berlin,Magdeburg,1,2024
828,Berlin,Vallendar,1,2024
829,Berlin,Leipzig,1,2024
830,Berlin,Erding,1,2024
831,Berlin,Berlin,1,2024
963,Bern,Zurich,1,2019
1172,Birmingham,Antwerp,1,2003
1072,Blacksburg,Bloomsburg,1,2018
1073,Blacksburg,Cambridge,1,2019
1074,Blacksburg,Syracuse,1,2019
1307,Bloomington,Canberra,1,2018
1308,Bloomington,Brighton,1,2018
1309,Bloomington,Montreal,1,2018
1310,Bloomington,Teresina,1,2018
1311,Bloomington,Stockholm,1,2018
1312,Bloomington,Saint Augustine,1,2018
1313,Bloomington,Tokyo,1,2018
1314,Bloomington,Córdoba,1,2018
1071,Bloomsburg,Blacksburg,1,2018
929,Bochum,Berlin,3,2023
240,Bodø,Coral Gables,1,2011
241,Bodø,Macao,1,2011
238,Bodø,Coral Gables,1,2014
239,Bodø,Macao,1,2014
1277,Bologna,Modena,1,2002
1278,Bologna,Bologna,1,2002
