city,year,n_total,n_solo_country,n_solo_author,n_collab,latitude,longitude
Aalborg,1999,1,0.0,0.0,1.0,57.01259,9.988539
Aalborg,2003,1,0.0,1.0,0.0,57.01259,9.988539
Aalborg,2004,1,0.0,1.0,0.0,57.01259,9.988539
Aalborg,2007,1,0.0,1.0,0.0,57.01259,9.988539
Aalborg,2008,1,0.0,1.0,0.0,57.01259,9.988539
Aarhus,2012,1,1.0,0.0,0.0,56.185997,10.232556
Aarhus,2018,1,0.0,0.0,1.0,56.185997,10.232556
Aarhus,2022,1,0.0,1.0,0.0,56.185997,10.232556
Aberdeen,1994,1,0.0,1.0,0.0,57.14603,-2.279009
Aberdeen,1999,1,0.0,1.0,0.0,57.14603,-2.279009
Accra,2021,1,0.0,0.0,1.0,5.60453,-0.1866
Accra,2022,1,0.0,0.0,1.0,5.60453,-0.1866
Adelaide,2004,1,0.0,1.0,0.0,-32.7002,26.294102
Adelaide,2007,1,0.0,1.0,0.0,-32.7002,26.294102
Ahmedabad,2017,1,0.0,1.0,0.0,23.046335,72.51873
Aix-en-Provence,2005,1,0.0,1.0,0.0,43.493687,5.34232
Akron,2023,1,0.0,0.0,1.0,41.072643,-81.5254
Albany,2010,1,0.0,0.0,1.0,42.63582,-73.76363
Albany,2016,1,0.0,1.0,0.0,42.63582,-73.76363
Albany,2021,1,0.0,0.0,1.0,42.63582,-73.76363
Alcalá de Henares,2017,1,0.0,1.0,0.0,40.48205,-3.35996
Amherst Center,1977,1,1.0,0.0,0.0,42.376118,-72.53242
Amherst Center,1992,1,0.0,1.0,0.0,42.376118,-72.53242
Amherst Center,2003,1,0.0,1.0,0.0,42.376118,-72.53242
Amherst Center,2006,1,0.0,1.0,0.0,42.376118,-72.53242
Amherst Center,2008,1,0.0,1.0,0.0,42.376118,-72.53242
Amherst Center,2018,1,0.0,1.0,0.0,42.376118,-72.53242
Amherst Center,2020,1,0.0,0.0,1.0,42.376118,-72.53242
Amherst Center,2021,1,0.0,0.0,1.0,42.376118,-72.53242
Amoy,2005,2,0.0,2.0,0.0,24.47979,118.08187
