,source,target,weight,year
300,AT,DE,1,2011
301,AT,PL,1,2011
298,AT,DE,1,2012
299,AT,PL,1,2012
297,AT,DK,1,2020
92,AU,NL,1,1997
93,AU,AU,1,1997
90,AU,GB,1,2017
91,AU,GB,1,2019
86,AU,FI,1,2020
87,AU,ZA,1,2020
88,AU,SE,1,2020
89,AU,CA,1,2020
94,AU,CH,1,2022
95,AU,IL,1,2022
96,AU,CA,1,2023
306,BA,SK,1,2018
11,BE,BE,1,2013
12,BE,NL,1,2013
3,BE,US,1,2017
4,BE,FR,1,2017
5,BE,US,1,2018
6,BE,SE,1,2018
7,BE,BE,1,2018
8,BE,US,2,2019
9,BE,NL,1,2019
10,BE,GB,2,2019
0,BE,BE,2,2020
1,BE,NL,2,2020
2,BE,GB,1,2020
13,BE,GB,1,2022
359,BG,DE,1,2006
330,BR,CA,1,2018
106,CA,GR,2,2003
107,CA,DE,1,2003
108,CA,CA,1,2003
111,CA,GB,1,2004
112,CA,US,1,2009
122,CA,GB,2,2012
125,CA,DE,1,2013
118,CA,US,2,2014
119,CA,FR,2,2014
120,CA,ZA,1,2016
121,CA,GB,1,2016
127,CA,DE,1,2017
128,CA,MX,1,2017
115,CA,DE,1,2018
116,CA,BR,1,2018
117,CA,CA,1,2018
109,CA,ES,1,2019
110,CA,US,1,2019
113,CA,SE,2,2020
114,CA,AU,1,2020
129,CA,LV,1,2021
126,CA,GH,1,2022
123,CA,GB,1,2023
124,CA,AU,1,2023
277,CH,DE,1,2014
278,CH,GB,1,2020
276,CH,US,1,2021
279,CH,AU,1,2022
280,CH,IL,1,2022
281,CH,TW,1,2022
282,CH,CH,1,2023
283,CH,CL,1,2023
341,CL,IN,1,2012
342,CL,GB,1,2012
343,CL,CH,1,2023
344,CL,DE,2,2023
255,CN,US,1,1995
251,CN,US,1,2011
252,CN,NO,1,2011
258,CN,US,1,2014
259,CN,NO,1,2014
262,CN,ES,1,2015
260,CN,GB,1,2019
261,CN,JP,1,2019
253,CN,US,1,2021
254,CN,CN,1,2021
256,CN,US,2,2023
257,CN,GB,1,2023
227,DE,GB,1,1999
215,DE,CA,1,2003
236,DE,BG,1,2006
237,DE,DE,1,2006
