Id,Label,community,indegree,outdegree,degree
0,https://openalex.org/W4256206407,1,0,3,3
1,https://openalex.org/W2153369576,1,1,37,38
2,https://openalex.org/W2501628138,1,0,7,7
3,https://openalex.org/W599290948,1,1,38,39
4,https://openalex.org/W1494924922,1,1,9,10
5,https://openalex.org/W1577183539,1,1,1,2
6,https://openalex.org/W2113220324,1,1,19,20
7,https://openalex.org/W2171946848,1,1,0,1
8,https://openalex.org/W2197342342,1,1,0,1
9,https://openalex.org/W4283014354,1,0,47,47
10,https://openalex.org/W1489843483,1,1,33,34
11,https://openalex.org/W1546530261,2,1,4,5
12,https://openalex.org/W1574707994,1,2,32,34
13,https://openalex.org/W1991379099,1,1,23,24
14,https://openalex.org/W2004765142,1,2,23,25
15,https://openalex.org/W2006784025,1,2,145,147
16,https://openalex.org/W2006832733,1,1,23,24
17,https://openalex.org/W2074177224,1,1,27,28
18,https://openalex.org/W2112303931,1,2,46,48
19,https://openalex.org/W2150200080,1,3,63,66
20,https://openalex.org/W2427028328,1,2,3,5
21,https://openalex.org/W2484862404,1,1,54,55
22,https://openalex.org/W2605929328,1,2,2,4
23,https://openalex.org/W2619673714,1,1,29,30
24,https://openalex.org/W2668403398,1,3,14,17
25,https://openalex.org/W2744303684,1,2,19,21
26,https://openalex.org/W2785823716,2,1,54,55
27,https://openalex.org/W2883577419,1,1,11,12
28,https://openalex.org/W2918788972,1,8,62,70
29,https://openalex.org/W2929963507,2,1,4,5
30,https://openalex.org/W2938967719,1,3,54,57
31,https://openalex.org/W2946269302,2,1,21,22
32,https://openalex.org/W2950957636,1,1,6,7
33,https://openalex.org/W2953669738,1,1,13,14
34,https://openalex.org/W2954542212,4,1,10,11
35,https://openalex.org/W2978179486,2,3,5,8
36,https://openalex.org/W2991169479,2,1,49,50
37,https://openalex.org/W2996088568,1,3,31,34
38,https://openalex.org/W3000666247,4,2,35,37
39,https://openalex.org/W3005733251,1,2,29,31
40,https://openalex.org/W3045233016,1,1,13,14
41,https://openalex.org/W3112100689,2,1,6,7
42,https://openalex.org/W3122977810,2,2,30,32
43,https://openalex.org/W3123452675,2,1,34,35
44,https://openalex.org/W3157000073,1,1,0,1
45,https://openalex.org/W4238417458,1,4,32,36
46,https://openalex.org/W4241588357,2,1,1,2
47,https://openalex.org/W4244190780,1,1,10,11
48,https://openalex.org/W4249308963,1,5,166,171
