X,Y,Cluster,Abstract,DOI,title,id_
-29.921707,5.040028,Period3,"In November 2007, the Universal Declaration of Emergent Human Rights was approved at the Universal Forum of Cultures in Monterrey, Mexico. Article 1.3 reads: The right to a basic income or universal citizen’s income that guarantees to every human being, independently of age, gender, sexual orientation, civil or employment status, the right to live in material conditions of dignity. To this end, a regular cash payment, financed by tax reforms and covered by the state budget, and sufficient to cover his or her basic needs, is recognized as a right of citizenship of every member-resident of he society, whatever his or her other sources of income may be. The importance of article 1.3 of the Monterrey Declaration lies, first of all, in the fact that, rather than speaking of the right to subsistence, or of having certain minimal vital needs covered in case of the onset of poverty or some catastrophe, it specifically upholds the “right to a basic income or universal citizen’s income” as a guarantee to every single individual of the “right to live in material conditions of dignity.” This is tantamount to pledging that no individual will be excluded from the possibility of engaging in social life and exercising his or her rights and duties as a citizen because of acute poverty.",https://doi.org/10.1057/9781137265227_6,East Timor and Catalonia: Basic Income — Proposals for North and South,https://openalex.org/W2501628138
-37.30964,0.24579039,Period3,"Stuart White and others claim that providing welfare benefits to citizens who do not, and are not willing to, work breaches the principle of reciprocity. This, they argue, justifies placing a minimum work requirement on welfare recipients. This article seeks to rebut their claim. It begins by rejecting the attempt to ground the work requirement on a civic obligation to work. The article then explores the principle of reciprocity, and argues that the practice of reciprocity depends on the particular conception of distributive justice adopted. An examination of different interpretations of egalitarian justice and their corresponding patterns of reciprocity demonstrates that unconditional welfare benefits are compatible with, and sometimes even warranted by, the principle of reciprocity. Thus, imposing a work requirement on welfare recipients is by no means a mandate of reciprocity.",https://doi.org/10.1177/1470594x05056607,Unconditional welfare benefits and the principle of reciprocity,https://openalex.org/W2150410972
60.722202,8.759067,Period2,"Introduction Part I 1. The Douglas/New Age Texts in Historical Context 2. Douglas/New Age Economics 3. Douglas/New Age Philsophy Part II 4. Orthodox/Neoclassical Reactions 5. The Labour Part and Social Credit 6. Socialism, Labourism and Social Credit Part III 7. The Social Credit Movement to 1930 8. The Social Credit Movement after 1930 9. The Alberta Experiment Conclusion",https://doi.org/10.1177/030981689906800110,The Political Economy of Social Credit and Guild Socialism,https://openalex.org/W1570735105
-9.355658,-3.8973105,Period3,"Many scholars have argued that once “basic needs” have been met, further rises in income are not associated with further increases in subjective well-being. We assess the validity of this claim in comparisons of both rich and poor countries, and also of rich and poor people within a country. Analyzing multiple datasets, multiple definitions of “basic needs” and multiple questions about well-being, we find no support for this claim. The relationship between well-being and income is roughly log-linear and does not diminish as incomes rise. If there is a satiation point, we are yet to reach it.",https://doi.org/10.1257/aer.103.3.598,Subjective Well-Being and Income: Is There Any Evidence of Satiation?,https://openalex.org/W3123123022
12.463569,-7.7560134,Period3,"This chapter is premised on the view that the human rights movement needs to address and respond to the fundamental changes that are taking place in economic and social structures at the national and global levels. In this setting one of the most vibrant proposals is to replace or supplement existing social protection systems with a universal basic income (UBI). The chapter reflects on how a UBI does and should relate to analogous efforts within the framework of international human rights law. It argues that UBI offers a bold and imaginative solution to pressing problems that are about to become far more intractable as a result of the directions in which the global economy appears inexorably to be heading. While there are many objections relating to affordability in particular, the concept should not be rejected out of hand on the grounds that it is utopian. In todayâ€™s world of severe economic insecurity, creativity in social policy is necessary. The chapter concludes by calling for the debates over social protection floors and a UBI to be brought together, rather than being kept largely separate in a counter-productive and ultimately self-defeating way.",https://doi.org/10.2139/ssrn.3079907,Universal Basic Income as a Social Rights-Based Antidote to Growing Economic Insecurity,https://openalex.org/W4229646519
1.7951885,-8.609788,Period3,"This paper proposes to orient contemporary debates over universal basic income (UBI) to broader social theory in the Marxist and Marxist-feminist traditions. Drawing on theories of labor decommodification, market socialism, and social reproduction, as well as more public-facing debates over policy, the purpose of this analysis is to better clarify the stakes a burgeoning left politics might have in pursuing the demand for UBI. Following key justifications put forward by chief proponents of the Wages for Housework movement for pursuing seemingly impractical, impossible, and politically ambiguous demands, I argue that UBI is best treated as a political perspective with both reactionary and revolutionary undercurrents. Urging caution, not dismissal, I refute more conventional economic analysis leading to common refrains against UBI, and suggest possible ways to bend UBI toward more explicitly socialist aims.",https://doi.org/10.25158/l7.2.13,We are All Housewives,https://openalex.org/W2904786503
17.597069,-8.33264,Period3,"This review essay examines recent work in political theory on the ethics of immigration admissions. It considers arguments put forward by Michael Walzer, Peter Meilaender and David Miller, among others, for state control of borders. Such arguments tend to appeal to the value of political communities and/or the exclusion rights of democratic associations, and I argue that neither of these are successful. Turning to work by Joseph Carens, Phillip Cole, Michael Dummett and others who advocate open or much more open borders, the article considers various arguments that would support this stance, including appeals to freedom of movement, utilitarianism and social justice. I argue that rights to immigration need embedding in global principles of resource redistribution. In the conclusion I sketch a cosmopolitan approach to immigration by which impartial criteria such as population density and gross domestic product would determine how many migrants states have a duty to admit.",https://doi.org/10.1111/j.1478-9299.2005.00026.x,The Ethics of Immigration,https://openalex.org/W1967546946
10.676857,-4.5624337,Period3,"This article is concerned with the recent (2017–2018) basic income experiment in Finland. This experiment attracted global attention, not least because of its break from the conditionalities and sanctions associated with social security payments in workfare states. This article stresses, however, that it is critical to understand how the Finnish basic income experiment was part of a broader programme of government-led reform in Finland. As well as establishing the experiment as a preferred mode of policymaking, this programme contained a range of strategies aimed at restructuring labour supply. The article shows how the basic income experiment should be understood as a behavioural intervention designed to enhance the wellbeing of unemployed populations at a time when wellbeing is emerging as a value-producing capacity.",https://doi.org/10.1177/0896920520940011,"Experimenting with Wellbeing: Basic Income, Immaterial Labour and Changing Forms of Productivity",https://openalex.org/W3041342549
57.290302,9.708171,Period3,"After years of stagnation in the American national conversation, the concept of UBI has experienced a rapid resurgence in recent years, greatly fueled by automation fears and eye-catching Silicon Valley endorsements. However, as of July 2019, it is still largely considered to be a fringe issue in the United States. In order to grow to the point of serious consideration, basic income will need to evolve into a popular movement. Some of this next evolution had already begun by July of 2019, most notably thanks to Andrew Yang’s long-shot presidential campaign, but there is much more still to do before it can go mainstream. Since the corporate media in America is largely compromised and/or unwilling to give due credence to such a populist effort, alternative forms of media must become the weapons of choice for spreading the idea of basic income through coordinated grassroots campaigns.",https://doi.org/10.1007/978-3-030-43904-0_5,The Role of Media in the Basic Income Movement,https://openalex.org/W3028992925
2.1304386,-6.975138,Period3,"In representative democracies public opinions matter. In this chapter we analyse the preferences for an Unconditional Basic Income (UBI) among a large, representative sample of people in the 28 member states of the European Union (EU). The survey data were collected by online sampling on mobile devices in March 2017. We apply a multi-level ordered logit model and a fixed effects model. On average, almost three-quarters of the people in the EU stated to (probably) vote for the introduction of UBI, if there would be a referendum on introducing UBI. Half of the voters would like to see UBI being introduced after successful experiments in their own country or abroad; one third as soon as possible. The likelihood to vote in favour of UBI varies significantly between groups of people. The effect of awareness on preferences is inconclusive. The national macro-economic and welfare state contexts have significant effects. ""It reduces anxiety about financial basic needs"" is considered the most convincing argument for UBI. ""It might encourage people to stop working"" is considered the most convincing argument against UBI. The self-enhancement hypothesis is confirmed. The positive and negative effects of UBI on individual work choices balance out.",https://doi.org/10.1007/978-3-030-30044-9_2,Individual Preferences for the Unconditional Basic Income in the European Union,https://openalex.org/W2990581083
0.42140144,-7.2011952,Period3,"A basic income has been advocated as the most emancipatory way of fighting unemployment without perpetuating poverty, or of fighting poverty without generating unemployment. It has also been the subject of fierce criticisms from both the right and the left. In the present context, we shall make no attempt to give a general overview of the rich discussion triggered by these criticisms. Instead, we will focus on one dimension of this discussion that is gaining in importance every day. Most of the arguments about the (un)desirability and (un)feasibility of a basic income have been formulated within the framework of fairly self-contained nation-states. This may have made a lot of sense in the case of the brief British debate in the 1920s, in the case of the brief US debate in the late 1960s, perhaps even in the case of the European debates that started in the 1980s. But how could it possibly make any sense in the twenty first century, in the era of globalization, in an era in which capital and goods, people and ideas are crossing national borders as they have never done before? In this new context, are the prospects for a basic income not deeply altered? Indeed, have they not dramatically worsened?",,Basic Income in a Globalized Economy,https://openalex.org/W1664108544
9.569919,-1.6470882,Period3,This book is the first outline avenues for implementation of a basic income inustralia and responds to a gap in the existing basic income literature and published titles to provide a distinct standpoint in the exploration of basic income within the Australian contemporary social policy landscape.,https://doi.org/10.1007/978-3-030-14378-7,Implementing a Basic Income in Australia,https://openalex.org/W2984957738
