community,tf_idf_term1,tf_idf_term2,tf_idf_term3,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,title_most_cited_UBI,bib_most_cited_UBI,title_most_cited_global,bib_most_cited_global,id_most_used_ref,n_most_used_ref,share_most_used_ref,id_most_cited_UBI,n_most_cited_UBI,share_most_cited_UBI,id_most_cited_global,n_most_cited_global,share_most_cited_global
0,response,response family,taxation risk taking,Demographic economics,4,0.36363636363636365,Irwin Garfinkel,The Effects of Welfare Programs on Experimental Responses,Irwin Garfinkel (1974),The Labor-Supply Response of Husbands,Harold W. Watts (1974),The Effects of Taxation on Risk Taking,Martin Feldstein (1969),https://openalex.org/W216113217,3.0,0.25,https://openalex.org/W1567167677,7,0.175,https://openalex.org/W2083818924,137,0.4391025641025641
0,effect,response husband,effect taxation risk,Mechanical engineering,3,0.2727272727272727,Harold W. Watts,The Labor-Supply Response of Husbands,Harold W. Watts (1974),The Effects of the New Jersey-Pennsylvania Negative Income Tax Experiment on Health and Health Care Utilization,David Elesh et Myron J. Lefcowitz (1977),"Jobs, Cash Transfers and Marital Instability: A Review and Synthesis of the Evidence",John H. Bishop (1980),https://openalex.org/W1567167677,2.0,0.16666666666666666,https://openalex.org/W2313409303,6,0.15,https://openalex.org/W1535789494,58,0.1858974358974359
0,husband,taxation risk,effect welfare program,Public economics,3,0.2727272727272727,Martin Feldstein,The Effects of Taxation on Risk Taking,Martin Feldstein (1969),A Negative-Income-Tax Experiment,David N. Kershaw (1972),A Negative-Income-Tax Experiment,David N. Kershaw (1972),https://openalex.org/W2083818924,1.0,0.08333333333333333,https://openalex.org/W2060903017,5,0.125,https://openalex.org/W2060903017,32,0.10256410256410256
0,family,risk taking,welfare program experimental,Labour economics,3,0.2727272727272727,Robinson G. Hollister,The Labor-Supply Response of the Family,Robinson G. Hollister (1974),The Effects of Welfare Programs on Experimental Responses,Irwin Garfinkel (1974),The Effects of the New Jersey-Pennsylvania Negative Income Tax Experiment on Health and Health Care Utilization,David Elesh et Myron J. Lefcowitz (1977),https://openalex.org/W267512904,1.0,0.08333333333333333,https://openalex.org/W216113217,5,0.125,https://openalex.org/W2313409303,28,0.08974358974358974
0,health,effect taxation,understanding treatment policy,Statistics,2,0.18181818181818182,David N. Kershaw,A Negative-Income-Tax Experiment,David N. Kershaw (1972),The General Equilibrium Impact of Alternative Antipoverty Strategies,John H. Bishop (1979),The Labor-Supply Response of Husbands,Harold W. Watts (1974),https://openalex.org/W2060903017,1.0,0.08333333333333333,https://openalex.org/W2030748685,4,0.1,https://openalex.org/W1567167677,18,0.057692307692307696
0,market,tax labor,treatment policy experimentation,Finance,2,0.18181818181818182,Sonia R. Wright,"Work Response to Income Maintenance: Economic, Sociological, and Cultural Perspectives",Sonia R. Wright (1975),"Jobs, Cash Transfers and Marital Instability: A Review and Synthesis of the Evidence",John H. Bishop (1980),The General Equilibrium Impact of Alternative Antipoverty Strategies,John H. Bishop (1979),https://openalex.org/W4254784248,1.0,0.08333333333333333,https://openalex.org/W1535789494,3,0.075,https://openalex.org/W2030748685,11,0.035256410256410256
0,risk,labor market,program experimental response,Nanotechnology,1,0.09090909090909091,Jonathan R. Kesselman,"Labor-Supply Effects of Income, Income-Work, and Wage Subsidies",Jonathan R. Kesselman (1969),The Labor-Supply Response of the Family,Robinson G. Hollister (1974),The Effects of Welfare Programs on Experimental Responses,Irwin Garfinkel (1974),https://openalex.org/W294349945,1.0,0.08333333333333333,https://openalex.org/W267512904,3,0.075,https://openalex.org/W216113217,11,0.035256410256410256
0,taking,effect negative,participant understanding treatment,Social psychology,1,0.09090909090909091,Michael C. Keeley,The Labor-Supply Effects and Costs of Alternative Negative Income Tax Programs,Michael C. Keeley et al. (1978),THE EFFECT OF A NEGATIVE INCOME TAX ON RISK-TAKING IN THE LABOR MARKET,William R. Johnson (1980),The Labor-Supply Response of the Family,Robinson G. Hollister (1974),https://openalex.org/W1587444279,1.0,0.08333333333333333,https://openalex.org/W2094134620,2,0.05,https://openalex.org/W267512904,7,0.022435897435897436
0,welfare,effect welfare,tax labor market,Archaeology,1,0.09090909090909091,Philip K. Robins,The General Equilibrium Impact of Alternative Antipoverty Strategies,John H. Bishop (1979),"Work Response to Income Maintenance: Economic, Sociological, and Cultural Perspectives",Sonia R. Wright (1975),THE EFFECT OF A NEGATIVE INCOME TAX ON RISK-TAKING IN THE LABOR MARKET,William R. Johnson (1980),https://openalex.org/W2030748685,1.0,0.08333333333333333,https://openalex.org/W4254784248,2,0.05,https://openalex.org/W2094134620,4,0.01282051282051282
0,negative,treatment policy,impact alternative antipoverty,Mechanics,1,0.09090909090909091,Robert G. Spiegelman,,,The Effects of Taxation on Risk Taking,Martin Feldstein (1969),Participants' Understanding of the Treatment in Policy Experimentation,Walter Nicholson et Sonia R. Wright (1977),,,,https://openalex.org/W2083818924,2,0.05,https://openalex.org/W2069462629,4,0.01282051282051282
