community,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,id_most_used_ref,n_most_used_ref,share_most_used_ref
1,Law,871,0.7001607717041801,,,,,,
1,Market economy,516,0.41479099678456594,,,,,,
1,Public economics,404,0.3247588424437299,,,,,,
1,Economic growth,302,0.2427652733118971,,,,,,
1,Law and economics,266,0.21382636655948553,,,,,,
1,Labour economics,245,0.19694533762057878,,,,,,
1,Mechanical engineering,196,0.15755627009646303,,,,,,
1,Finance,185,0.1487138263665595,,,,,,
1,Positive economics,174,0.13987138263665594,,,,,,
1,Political economy,167,0.1342443729903537,,,,,,
1,Development economics,152,0.12218649517684887,,,,,,
1,Epistemology,144,0.1157556270096463,,,,,,
1,Mathematical analysis,137,0.11012861736334405,,,,,,
1,Demographic economics,118,0.09485530546623794,,,,,,
1,Linguistics,115,0.09244372990353698,,,,,,
2,Market economy,296,0.46105919003115264,Christopher Green,Negative Taxes and Monetary Incentives to Work: The Static Theory,Christopher Green (1968),https://openalex.org/W2279741972,5.0,0.1282051282051282
2,Public economics,259,0.40342679127725856,Michael C. Keeley,The Labor-Supply Effects and Costs of Alternative Negative Income Tax Programs,Michael C. Keeley et al. (1978),https://openalex.org/W1587444279,4.0,0.10256410256410256
2,Law,258,0.40186915887850466,Philip K. Robins,The Effects of Welfare Programs on Experimental Responses,Irwin Garfinkel (1974),https://openalex.org/W216113217,3.0,0.07692307692307693
2,Economic growth,220,0.3426791277258567,Robert G. Spiegelman,Capitalism and Freedom,Milton Friedman (1962),https://openalex.org/W1559924327,3.0,0.07692307692307693
2,Labour economics,161,0.2507788161993769,Richard W. West,"Labor-Supply Effects of Income, Income-Work, and Wage Subsidies",Jonathan R. Kesselman (1969),https://openalex.org/W294349945,3.0,0.07692307692307693
2,Finance,134,0.2087227414330218,Irwin Garfinkel,Simple Dynamic Effects in Work-Leisure Choice: A Skeptical Comment on the Static Theory,John Conlisk (1968),https://openalex.org/W2216732643,3.0,0.07692307692307693
