community,tf_idf_term1,tf_idf_term2,tf_idf_term3,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,title_most_cited_UBI,bib_most_cited_UBI,title_most_cited_global,bib_most_cited_global,id_most_used_ref,n_most_used_ref,share_most_used_ref,id_most_cited_UBI,n_most_cited_UBI,share_most_cited_UBI,id_most_cited_global,n_most_cited_global,share_most_cited_global
1,social,welfare state,real freedom capitalism,Economics,827,0.8516992790937178,Philippe Van Parijs,Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),"The General Theory of Employment, Interest and Money, <i>by John Maynard Keynes</i>",John Maynard Keynes (1936),https://openalex.org/W2325247757,117,0.02959028831562974,https://openalex.org/W2325247757,147,0.03493346007604563,https://openalex.org/W2013860961,3492,0.07373155127636663
1,welfare,real freedom,welfare state perspective,Political science,716,0.737384140061792,Karl Widerquist,Basic Income: A Simple and Powerful Idea for the Twenty-First Century,Philippe Van Parijs (2004),Basic Income: A Simple and Powerful Idea for the Twenty-First Century,Philippe Van Parijs (2004),What Is the Point of Equality?,Elizabeth Anderson (1999),https://openalex.org/W2006784025,68,0.01719777440566515,https://openalex.org/W2006784025,131,0.031131178707224334,https://openalex.org/W2061596374,2372,0.0500834019551952
1,work,social policy,problem work politics,Sociology,467,0.48094747682801237,Jürgen De Wispelaere,Arguing for Basic Income: Ethical Foundations for a Radical Reform,Philippe Van Parijs (1992),The Case for a Participation Income,Anthony B. Atkinson (1996),On the Currency of Egalitarian Justice,G. A. Cohen (1989),https://openalex.org/W2168139370,64,0.01618614061709661,https://openalex.org/W1980797821,94,0.022338403041825095,https://openalex.org/W1970380565,2232,0.04712738329004877
1,freedom,job guarantee,justice individual ethic,Computer science,264,0.27188465499485065,Yannick Vanderborght,The Case for a Participation Income,Anthony B. Atkinson (1996),Arguing for Basic Income: Ethical Foundations for a Radical Reform,Philippe Van Parijs (1992),The Economics of Welfare,A. C. Pigou (1920),https://openalex.org/W1980797821,57,0.014415781487101669,https://openalex.org/W2168139370,91,0.021625475285171104,https://openalex.org/W1579344322,2101,0.04436139439623319
1,justice,right work,efficiency argument guaranteed,Philosophy,225,0.23171987641606592,Stuart White,Democratizing Citizenship: Some Advantages of a Basic Income,Carole Pateman (2004),Democratizing Citizenship: Some Advantages of a Basic Income,Carole Pateman (2004),Trust and Antitrust,Annette C. Baier (1986),https://openalex.org/W2150200080,52,0.013151239251390997,https://openalex.org/W2150200080,63,0.01497148288973384,https://openalex.org/W2058583438,1908,0.04028631152213847
1,state,social justice,grant south africa,Engineering,180,0.18537590113285274,Guy Standing,Basic Income,Philippe Van Parijs et Yannick Vanderborght (2017),"Independence, Propertylessness, and Basic Income",Karl Widerquist (2013),An agenda for sustainability transitions research: State of the art and future directions,Jonathan Köhler et al. (2019),https://openalex.org/W4249308963,44,0.01112797167425392,https://openalex.org/W2484862404,55,0.013070342205323195,https://openalex.org/W2910922638,1414,0.02985578851797893
1,policy,south africa,full employment social,Mathematics,174,0.1791967044284243,Simon Birnbaum,"Independence, Propertylessness, and Basic Income",Karl Widerquist (2013),Why Surfers Should Be Fed: The Liberal Case for an Unconditional Basic Income,Philippe Van Parijs (2017),From Servitude to Service Work: Historical Continuities in the Racial Division of Paid Reproductive Labor,Evelyn Nakano Glenn (1992),https://openalex.org/W2484862404,42,0.010622154779969651,https://openalex.org/W1921013935,50,0.01188212927756654,https://openalex.org/W2011978323,1039,0.021937881379193853
1,guarantee,full employment,gender justice cost,Business,137,0.141091658084449,Anthony B. Atkinson,"Liberal Equality, Exploitation, and the Case for an Unconditional Basic Income",Stuart White (1997),A capitalist road to communism,Robert J. van der Veen et Philippe Van Parijs (1986),"AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",Luciano Floridi et al. (2018),https://openalex.org/W2017475875,41,0.010369246332827516,https://openalex.org/W2112303931,48,0.011406844106463879,https://openalex.org/W2902634493,1014,0.021410020903274846
1,case,market socialism,liberal socialism work,Biology,136,0.1400617919670443,Lindsay Stirton,Basic Income: The Material Conditions of Freedom,Daniel Raventós (2007),"Liberal Equality, Exploitation, and the Case for an Unconditional Basic Income",Stuart White (1997),A Genealogy of Dependency: Tracing a Keyword of the U.S. Welfare State,Nancy Fraser et Linda Gordon (1994),https://openalex.org/W599290948,35,0.008851795649974709,https://openalex.org/W2017475875,46,0.010931558935361217,https://openalex.org/W2036887564,954,0.020143155761069235
1,right,technological unemployment,conditional cash transfer,Psychology,86,0.08856848609680741,Erik Olín Wright,Beyond the new paternalism: basic security as equality,,Beyond the new paternalism: basic security as equality,,Is Green Growth Possible?,Jason Hickel et Giorgos Kallis (2019),https://openalex.org/W77078688,34,0.008598887202832575,https://openalex.org/W77078688,44,0.010456273764258554,https://openalex.org/W2937421004,777,0.016405903591562677
