,id_most_used_ref,n_most_used_ref,share_most_used_ref,author_most_used,id_most_cited_UBI,n_most_cited_UBI,share_most_cited_UBI,id_most_cited_global,n_most_cited_global,share_most_cited_global,community,title_most_used_ref,bib_most_used_ref,title_most_cited_global,bib_most_cited_global,title_most_cited_UBI,bib_most_cited_UBI
0,https://openalex.org/W2045092519,1.0,0.25,Peter Dawkins,https://openalex.org/W2132161904,6,0.35294117647058826,https://openalex.org/W2045092519,56,0.3684210526315789,1,Towards Full Employment,Peter Dawkins et John Freebairn (1997),Towards Full Employment,Peter Dawkins et John Freebairn (1997),Crumbling Pillars: Social Security Futures,Robert E. Goodin (2000)
1,https://openalex.org/W1980797821,1.0,0.25,John Freebairn,https://openalex.org/W2147682902,3,0.17647058823529413,https://openalex.org/W2132161904,54,0.35526315789473684,1,The Case for a Participation Income,Anthony B. Atkinson (1996),Crumbling Pillars: Social Security Futures,Robert E. Goodin (2000),Towards a Negative Income Tax System for Australia,Peter Dawkins et al. (1998)
2,https://openalex.org/W3148404943,1.0,0.25,Anthony B. Atkinson,https://openalex.org/W2045092519,3,0.17647058823529413,https://openalex.org/W2079123522,17,0.1118421052631579,1,Public Economics in Action: The Basic Income/Flat Tax Proposal,A. B. Atkinson (1996),Placing welfare states: The Netherlands as a crucial test case,Robert E. Goodin et Anneloes Smitsman (2000),Towards Full Employment,Peter Dawkins et John Freebairn (1997)
3,https://openalex.org/W2029741362,1.0,0.25,A. B. Atkinson,https://openalex.org/W2079123522,2,0.11764705882352941,https://openalex.org/W2147682902,15,0.09868421052631579,1,How can constitutions be designed so that politicians who seek to serve “public interest” can survive and prosper?,James M. Buchanan (1993),Towards a Negative Income Tax System for Australia,Peter Dawkins et al. (1998),Placing welfare states: The Netherlands as a crucial test case,Robert E. Goodin et Anneloes Smitsman (2000)
4,,,,James M. Buchanan,https://openalex.org/W3125985932,1,0.058823529411764705,https://openalex.org/W3125985932,6,0.039473684210526314,1,,,,Niclas Berggren (2000),,Niclas Berggren (2000)
5,,,,,https://openalex.org/W340380968,1,0.058823529411764705,https://openalex.org/W340380968,2,0.013157894736842105,1,,,"Renda mínima, trabalho e cidadania: o projeto Suplicy em debate",Josue Pereira da Silva (1998),"Renda mínima, trabalho e cidadania: o projeto Suplicy em debate",Josue Pereira da Silva (1998)
6,,,,,https://openalex.org/W2137867485,1,0.058823529411764705,https://openalex.org/W2137867485,2,0.013157894736842105,1,,,"Real Freedom for All: What (if Anything) Can Justify Capitalism?Philippe Van Parijs, Oxford University Press, 1995. 330 + xii pages.",Jocelyne Couture (1998),"Real Freedom for All: What (if Anything) Can Justify Capitalism?Philippe Van Parijs, Oxford University Press, 1995. 330 + xii pages.",Jocelyne Couture (1998)
7,https://openalex.org/W1520279335,2.0,0.09523809523809523,Philip K. Robins,https://openalex.org/W2287844010,11,0.39285714285714285,https://openalex.org/W2132413375,49,0.5157894736842106,2,A Comparison of the Labor Supply Findings from the Four Negative Income Tax Experiments,Philip K. Robins (1985),Randomised studies of income supplementation: a lost opportunity to assess health outcomes,Jennie Connor et al. (1999),"Income, Work and Marital Dissolution: Canadian Experimental Evidence",Derek Hum et Saud A. Choudhry (1992)
8,https://openalex.org/W2057601716,2.0,0.09523809523809523,Jerry A. Hausman,https://openalex.org/W2074365728,7,0.25,https://openalex.org/W2287844010,15,0.15789473684210525,2,A Reanalyis of Marital Stability in the Seattle-Denver Income-Maintenance Experiment,Glen G. Cain et Douglas Wissoker (1990),"Income, Work and Marital Dissolution: Canadian Experimental Evidence",Derek Hum et Saud A. Choudhry (1992),Graduated work incentives and how they affect marital stability: the Canadian evidence,Saud A. Choudhry et Derek Hum (1995)
9,https://openalex.org/W623731598,1.0,0.047619047619047616,Derek Hum,https://openalex.org/W2048399484,4,0.14285714285714285,https://openalex.org/W2061197681,13,0.1368421052631579,2,Beyond the Welfare State: An Examination of Basic Incomes in a Market Economy,Samuel Brittan et Steven Webb (1990),LABOUR SUPPLY ESTIMATION AND PUBLIC POLICY,Derek Hum et Wayne Simpson (1994),Whatever happened to Canada's guaranteed income project?,Derek Hum et Wayne Simpson (1993)
10,https://openalex.org/W1964506806,1.0,0.047619047619047616,Michael T. Hannan,https://openalex.org/W2026508179,2,0.07142857142857142,https://openalex.org/W2074365728,8,0.08421052631578947,2,An Empirical Model of Labor Supply in a Life-Cycle Setting,Thomas MaCurdy (1981),Graduated work incentives and how they affect marital stability: the Canadian evidence,Saud A. Choudhry et Derek Hum (1995),"Book Review: Philippe Van Parijs (ed.), Arguing for Basic Income: Ethical Foundations for a Radical Reform (London: Verso, 1992), pp. viii, 248, $39.95 (paper)",T. M. Wilkinson (1993)
11,https://openalex.org/W1996567072,1.0,0.047619047619047616,Nancy Brandon Tuma,https://openalex.org/W2061197681,2,0.07142857142857142,https://openalex.org/W2048399484,5,0.05263157894736842,2,The Effect of Taxation on Labor Supply: Evaluating the Gary Negative Income Tax Experiment,Gary Burtless et Jerry A. Hausman (1978),Whatever happened to Canada's guaranteed income project?,Derek Hum et Wayne Simpson (1993),LABOUR SUPPLY ESTIMATION AND PUBLIC POLICY,Derek Hum et Wayne Simpson (1994)
12,https://openalex.org/W2061127918,1.0,0.047619047619047616,Glen G. Cain,https://openalex.org/W2002840808,1,0.03571428571428571,https://openalex.org/W2026508179,3,0.031578947368421054,2,Attrition Bias in Experimental and Panel Data: The Gary Income Maintenance Experiment,Jerry A. Hausman et David A. Wise (1979),"Book Review: Philippe Van Parijs (ed.), Arguing for Basic Income: Ethical Foundations for a Radical Reform (London: Verso, 1992), pp. viii, 248, $39.95 (paper)",T. M. Wilkinson (1993),The Macdonald Commission,J. R. Mallory (1986)
13,https://openalex.org/W2120994828,1.0,0.047619047619047616,Douglas Wissoker,https://openalex.org/W2132413375,1,0.03571428571428571,https://openalex.org/W2002840808,2,0.021052631578947368,2,Labour Supply Estimates for Low-Income Female Heads of Household Using Mincome Data,David M. Prescott et al. (1986),The Macdonald Commission,J. R. Mallory (1986),Randomised studies of income supplementation: a lost opportunity to assess health outcomes,Jennie Connor et al. (1999)
14,https://openalex.org/W2066344131,2.0,0.16666666666666666,Jonathan R. Kesselman,https://openalex.org/W1483340052,14,0.4375,https://openalex.org/W2022199004,268,0.41550387596899224,3,"Professor Friedman, meet Lady Rhys-Williams: NIT vs. CIT",Jonathan R. Kesselman et Irwin Garfinkel (1978),"POVERTY, TNEQUALTTY, AND FAMTLY LIVING STANDARDS IMPACTS ACROSS SEVEN NATIONS: THE EFFECT OF NONCASH SUBSIDIES FOR HEALTH, EDUCATION AND HOUSING",Timothy M. Smeeding et al. (1993),On reforming the welfare system,Bernard Fortin et al. (1993)
15,https://openalex.org/W1483340052,1.0,0.08333333333333333,Irwin Garfinkel,https://openalex.org/W2062409192,7,0.21875,https://openalex.org/W1997617162,212,0.32868217054263565,3,On reforming the welfare system,Bernard Fortin et al. (1993),A Disaggregated Analysis of the Allocation of Time within the Household,Peter Kooreman et Arie Kapteyn (1987),The Path to full Employment,William Mitchell et Martin Watts (1997)
16,https://openalex.org/W1850650012,1.0,0.08333333333333333,Robert A. Moffitt,https://openalex.org/W1969213447,3,0.09375,https://openalex.org/W1483340052,51,0.07906976744186046,3,THE EQUITY-EFFICIENCY TRADE-OFF: BREIT RECONSIDERED *,Peter J. Lambert (1990),On reforming the welfare system,Bernard Fortin et al. (1993),An alternative to labour-market orthodoxy: the post-Keynesian/institutionalist policy view,Mario Seccareccia (1991)
17,https://openalex.org/W2086109197,1.0,0.08333333333333333,Bernard Fortin,https://openalex.org/W2048226818,3,0.09375,https://openalex.org/W2062409192,45,0.06976744186046512,3,Optimal non-linear income taxation for the alleviation of income-poverty,Ravi Kanbur et al. (1994),The Path to full Employment,William Mitchell et Martin Watts (1997),Means‐tested versus Universal Transfers: Alternative Models and Value Judgements,John Creedy (1998)
18,https://openalex.org/W2072162605,1.0,0.08333333333333333,Michel Truchon,https://openalex.org/W2022199004,1,0.03125,https://openalex.org/W1969213447,31,0.04806201550387597,3,GUARANTEED MINIMUM INCOME REVISITED: PARADISE LOST OR GUIDING LIGHT?,Peter Saunders (1988),An alternative to labour-market orthodoxy: the post-Keynesian/institutionalist policy view,Mario Seccareccia (1991),"POVERTY, TNEQUALTTY, AND FAMTLY LIVING STANDARDS IMPACTS ACROSS SEVEN NATIONS: THE EFFECT OF NONCASH SUBSIDIES FOR HEALTH, EDUCATION AND HOUSING",Timothy M. Smeeding et al. (1993)
19,https://openalex.org/W1579918246,1.0,0.08333333333333333,Louis Beauséjour,https://openalex.org/W2113955958,1,0.03125,https://openalex.org/W1607278730,16,0.024806201550387597,3,The Labor Supply Response in the Gary Experiment,Robert A. Moffitt (1979),Poverty Traps in the Australian Social Security System,Peter Whiteford et al. (1989),EVALUATING ALTERNATIVE TAX AND TRANSFER SCHEMES WITH ENDOGENOUS EARNINGS,John Creedy (1997)
20,https://openalex.org/W1587444279,1.0,0.08333333333333333,Peter J. Lambert,https://openalex.org/W2032260994,1,0.03125,https://openalex.org/W2048226818,12,0.018604651162790697,3,The Labor-Supply Effects and Costs of Alternative Negative Income Tax Programs,Michael C. Keeley et al. (1978),Means‐tested versus Universal Transfers: Alternative Models and Value Judgements,John Creedy (1998),Social Security and the Future,Ian Manning (1981)
21,https://openalex.org/W1963980522,1.0,0.08333333333333333,Ravi Kanbur,https://openalex.org/W1997617162,1,0.03125,https://openalex.org/W2113955958,7,0.010852713178294573,3,A problem with the negative income tax,Robert A. Moffitt (1985),EVALUATING ALTERNATIVE TAX AND TRANSFER SCHEMES WITH ENDOGENOUS EARNINGS,John Creedy (1997),A Disaggregated Analysis of the Allocation of Time within the Household,Peter Kooreman et Arie Kapteyn (1987)
22,https://openalex.org/W2087275534,1.0,0.08333333333333333,Michael Keen,https://openalex.org/W1607278730,1,0.03125,https://openalex.org/W2032260994,3,0.004651162790697674,3,The Trade-Off between Equality and Efficiency,Edgar K. Browning et William R. Johnson (1984),Social Security and the Future,Ian Manning (1981),Poverty Traps in the Australian Social Security System,Peter Whiteford et al. (1989)
