community,tf_idf_term1,tf_idf_term2,tf_idf_term3
1,social,welfare state,real freedom capitalism
1,freedom,real freedom,welfare state perspective
1,work,job guarantee,social security future
1,welfare,right work,justice individual ethic
1,justice,full employment,efficiency argument guaranteed
1,state,technological unemployment,money gender analysis
1,right,distributive justice,full employment social
1,guarantee,van parijs,gender justice cost
1,policy,social justice,liberal socialism work
1,case,social assistance,conditional cash transfer
1,job,social policy,proposal welfare state
1,argument,political economy,new welfare state
1,real,capitalist road,south africa approach
1,unemployment,south africa,freedom poverty freedom
1,economic,political theory,poverty freedom work
1,theory,new welfare,public programme cost
1,equality,unemployment job,new perspective poor
1,proposal,social security,theory distributive justice
1,political,freedom capitalism,note theory justice
1,employment,note economics,public policy ethic
2,social,welfare state,european welfare state
2,welfare,social policy,social policy reform
2,policy,social security,welfare state case
2,state,left right,policy reform germany
2,support,public support,social security system
2,experiment,attitude toward,country theory practice
2,political,political economy,standard quality life
2,debate,welfare reform,welfare state attitude
2,citizen,political feasibility,revolution america guaranteed
2,attitude,labor market,welfare revolution america
2,politics,need citizen,politics social net
2,reform,grant pilot,technological labor market
2,work,technological unemployment,social policy capitalism
2,guarantee,social protection,politics justice liberal
2,germany,policy reform,worker digital economy
2,idea,social democracy,inequality tool poor
2,introduction,european welfare,challenge precarious work
2,public,public opinion,tax benefit system
2,pandemic,comparative analysis,growth labor robot
2,perspective,social investment,justice van parijs
3,degrowth,south africa,poverty south africa
3,south,social policy,grant south africa
3,africa,sustainable consumption,reform south africa
3,social,poverty south,automation different time
3,work,case participation,alaska model state
3,policy,grant south,transition social case
3,welfare,reform south,work good utopia
3,grant,ecological effect,idea politics social
3,ecological,welfare state,work beyond society
3,sustainable,ecological economics,change social policy
3,poverty,future work,credit system implication
3,case,distributive justice,proposal case wage
3,future,united state,degrowth social movement
3,sustainability,cash transfer,problem work politics
3,state,form social,attitude welfare recipient
3,participation,sustainable welfare,good life within
3,labour,social movement,citizenship employment option
3,crisis,work social,south solidarity grant
3,politics,working time,challenge inequality growth
3,growth,social security,social dynamic degrowth
4,tax,labour supply,mechanism evaluation model
4,welfare,guaranteed minimum,reform social security
4,optimal,social security,simulation european country
4,negative,labor supply,taxation wage subsidy
4,social,tax transfer,gender based taxation
4,taxation,european country,based taxation wage
4,minimum,social welfare,versus unemployment insurance
4,supply,tax reform,effect tax reform
4,reform,optimal taxation,empirical optimal taxation
4,scheme,welfare state,case europe empirical
4,europe,mechanism evaluation,europe empirical optimal
4,poverty,tax family,tax transfer system
4,policy,evaluation model,poverty model note
4,labour,social insurance,equity versus efficiency
4,transfer,welfare reform,targeting social assistance
4,model,public economics,tax economic political
4,work,tax credit,critical research programme
4,system,europe child,work strategy britain
4,alternative,supply tax,real economic freedom
4,redistribution,simulation european,inequality optimal redistribution
5,experiment,labor supply,labor supply response
5,effect,cash transfer,alaska permanent fund
5,tax,welfare state,rethinking welfare state
5,negative,effect negative,permanent fund dividend
5,health,maintenance experiment,labor market effect
5,policy,tax experiment,conditional cash transfer
5,social,work incentive,guaranteed employment guaranteed
5,program,social experiment,general impact alternative
5,evidence,labor market,impact alternative strategy
5,labor,tax program,program developing country
5,case,united state,transfer program developing
5,guaranteed,alaska permanent,evidence alaska permanent
5,welfare,labour supply,social security review
5,work,supply response,canada social security
5,poverty,permanent fund,fund dividend model
5,supply,evidence alaska,employment market effect
5,response,market effect,cost tax attitude
5,impact,transfer program,efficiency cost tax
5,transfer,guaranteed annual,guarantee efficiency cost
5,guarantee,developing country,reform germany better
6,germany,labour market,germany status protection
6,korea,germany status,policy germany status
6,market,policy germany,poverty germany empirical
6,welfare,status protection,review transfer state
6,labor,labor market,employment welfare recipient
6,policy,rethinking welfare,transition egalitarian development
6,german,south korea,unemployment lesson germany
6,recipient,german labour,german labour market
6,care,case germany,labour market policy
6,discourse,market policy,market unemployment europe
6,unemployment,employment welfare,labor market unemployment
6,benefit,review transfer,job workfare scheme
6,feminist,precarious worker,german job workfare
6,labour,lesson germany,alternative social security
6,status,unemployment lesson,new european minimum
6,study,transition egalitarian,assessing german labour
6,perspective,poverty germany,feminist approach discourse
6,new,germany empirical,european perspective welfare
6,protection,egalitarian development,job quality approach
6,support,discourse korea,welfare reform two
